,upc,url,sku,name,modelNumber,manufacturer,salePrice,shippingCost,dollarSavings,percentSavings,bestSellingRank,customerReviewCount,customerReviewAverage,color,inStoreAvailabilityText,onlineAvailabilityText,description,shortDescription,longDescription,Details: Temperature Control Type,Details: Refrigerator Capacity,Details: Number Of Doors,Details: Freezer Compartment,Details: ENERGY STAR Certified,Details: Humidity-Controlled Crisper,Details: Refrigerator Type,Details: Thru-The-Door Dispenser,Details: Freezer Capacity,Details: Height To Top Of Refrigerator,Details: Water Filtration,Details: Ice Maker,Details: pricematch
0,012505638060,http://www.bestbuy.com/site/frigidaire-18-0-cu-ft-top-freezer-refrigerator-white/8978005.p?id=1219383300211&skuId=8978005&cmp=RMX&ky=2msKhkbvKrbhkKj0291rvaFVFiwnOy9Bc,8978005,Frigidaire - 18.0 Cu. Ft. Top-Freezer Refrigerator - White,FFTR1814QW,Frigidaire,579.99,2.99,0.0,0.0,2741.0,376.0,4.1,White,Store Pickup:,Delivery: Most Areas,,Ready-Select controls; 2 clear Store-More humidity-controlled crispers; 2 full-width wire shelves; clear dairy compartment with clear door; wire half-width freezer shelf; 2 full-width freezer door racks,"Frigidaire 18.0 Cu. Ft. Top-Freezer Refrigerator: Designed for the home or garage, this refrigerator keeps food chilled and easily accessible. Sliding shelves and a gallon-size door bin help keep groceries organized.",Electronic,No,yes,Yes,No,Yes,Top Freezer,Not Applicable,4.0 cubic feet,65.875 inches,No,,
1,600603187070,http://www.bestbuy.com/site/insignia-2-6-cu-ft-compact-refrigerator-black/3828012.p?id=1219603205359&skuId=3828012&cmp=RMX&ky=2msKhkbvKrbhkKj0291rvaFVFiwnOy9Bc,3828012,Insignia™ - 2.6 Cu. Ft. Compact Refrigerator - Black,NS-CF26BK6,Insignia™,119.99,0.0,0.0,0.0,2833.0,198.0,4.4,Black,Store Pickup:,Shipping: Ships in 1 business day.,,"Only at Best Buy
Electromechanical controls; glass shelf; can storage; reversible door","Only at Best Buy  Organize your snacks and beverages easily with this Insignia&#8482; NS-CF26BK6 compact refrigerator, which offers glass shelving and can storage for flexibility. Electromechanical controls offer easy adjustments.",Electromechanical,2.6 cubic feet,yes,Yes,No,No,Compact,Not Applicable,,,,,
2,012505638121,http://www.bestbuy.com/site/frigidaire-18-1-cu-ft-top-freezer-refrigerator-stainless-steel/8979013.p?id=1219383302110&skuId=8979013&cmp=RMX&ky=2msKhkbvKrbhkKj0291rvaFVFiwnOy9Bc,8979013,Frigidaire - 18.1 Cu. Ft. Top-Freezer Refrigerator - Stainless Steel,FFTR1821QS,Frigidaire,599.99,2.99,130.0,17.81,2897.0,209.0,4.2,Stainless Steel,Store Pickup:,Delivery: Most Areas,,Electronic controls; 2 clear Store-More humidity-controlled crispers; 2 full-width glass shelves; meat/deli drawer; clear dairy compartment with clear door; wire full-width freezer shelf; 2 freezer door racks,"Frigidaire 18.1 Cu. Ft. Top-Freezer Refrigerator: Groceries stay chilled and organized in this Frigidaire refrigerator. The humidity-controlled crisper drawers keep food fresh, and a gallon-size door bin fits plenty of large containers.",Electronic,Optional,yes,Yes,No,Yes,Top Freezer,Not Applicable,4.0 cubic feet,65.375 inches,No,,
3,012505639258,http://www.bestbuy.com/site/frigidaire-3-3-cu-ft-compact-refrigerator-stainless-steel/5316104.p?id=1219128145318&skuId=5316104&cmp=RMX&ky=2msKhkbvKrbhkKj0291rvaFVFiwnOy9Bc,5316104,Frigidaire - 3.3 Cu. Ft. Compact Refrigerator - Stainless Steel,FFPE33B1QM,Frigidaire,169.99,0.0,0.0,0.0,4244.0,378.0,4.6,Stainless Steel,Store Pickup:,Shipping: Usually leaves our warehouse in 1 business day,,Mechanical temperature controls; 1 SpaceWise shelf and 1 removable shelf; crisper drawer; 3 door racks; bottle retainer; 6-can rack; reversible door; 15W interior light; freezer compartment,"Frigidaire 3.3 Cu. Ft. Compact Refrigerator: Store essentials inside this Frigidaire compact refrigerator, which features a clear crisper, a SpaceWise adjustable glass shelf, a 6-can rack and other storage space, so you can keep snacks and drinks properly chilled. Simply select the appropriate temperature using the mechanical controls.",Analog,No,yes,Yes,No,Yes,Compact,Not Applicable,0.3 cubic feet,33.88 inches,,,
4,600603187056,http://www.bestbuy.com/site/insignia-1-7-cu-ft-compact-refrigerator-black/3827004.p?id=1219603207253&skuId=3827004&cmp=RMX&ky=2msKhkbvKrbhkKj0291rvaFVFiwnOy9Bc,3827004,Insignia™ - 1.7 Cu. Ft. Compact Refrigerator - Black,NS-CF17BK6,Insignia™,99.99,0.0,0.0,0.0,4546.0,169.0,4.5,Black,Store Pickup:,Shipping: Usually leaves our warehouse in 1 business day,,"Only at Best Buy
Electromechanical controls; coated wire shelving; reversible door","Only at Best Buy  Keep your snacks and drinks chilled in this Insignia&#8482; NS-CF17BK6 compact refrigerator, which offers 1.7 cu. ft. of space and easy-to-adjust electromechanical controls. A reversible door offers a versatile design that fits your space.",Electromechanical,No,yes,No,No,No,Compact,Not Applicable,,,,,
5,036725590045,http://www.bestbuy.com/site/samsung-24-6-cu-ft-french-door-refrigerator-with-thru-the-door-ice-and-water-stainless-steel/4980442.p?id=1218587136380&skuId=4980442&cmp=RMX&ky=2msKhkbvKrbhkKj0291rvaFVFiwnOy9Bc,4980442,Samsung - 24.6 Cu. Ft. French Door Refrigerator with Thru-the-Door Ice and Water - Stainless Steel,RF263BEAESR,Samsung,1799.99,2.99,600.0,25.0,4663.0,893.0,4.4,Stainless Steel,Store Pickup:,Delivery: Most Areas,,"ENERGY STAR Certified
Twin Cooling Plus system; 5 spill-proof tempered-glass shelves; 2 humidity-controlled crispers; Cool Select Pantry; 6 gallon-size door bins; LED lighting","Samsung 24.6 Cu. Ft. French Door Refrigerator with Thru-the-Door Ice and Water: With an easy-open door and kid-friendly drawer heights, this bottom-freezer refrigerator helps the whole family enjoy fresh groceries, along with clean and refreshing filtered water and ice right from the door.",Digital,Yes,yes,Yes,Yes,Yes,French Door,Water,8.0 cubic feet,68.63 inches,Yes,,
6,883049260891,http://www.bestbuy.com/site/whirlpool-25-4-cu-ft-side-by-side-refrigerator-with-thru-the-door-ice-and-water-monochromatic-stainless-steel/8244066.p?id=1218866280025&skuId=8244066&cmp=RMX&ky=2msKhkbvKrbhkKj0291rvaFVFiwnOy9Bc,8244066,Whirlpool - 25.4 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - Monochromatic Stainless Steel,WRS325FDAM,Whirlpool,999.99,2.99,300.0,23.08,5315.0,358.0,4.2,Monochromatic Stainless Steel,Store Pickup:,Delivery: Most Areas,,"Mechanical temperature controls; Accu-Chill temperature management system; SpillGuard shelves; gallon-size door bins; meat, crisper and snack pans; freezer bin","Whirlpool 25.4 Cu. Ft. Side-by-Side Refrigerator: This intuitive Whirlpool refrigerator maintains the freshness of your groceries using the Accu-Chill temperature management system, so you can easily minimize your food waste. Quickly access filtered water and cubed ice through the door simply by pressing a button. If containers in the fridge accidentally leak, the 4 SpillGuard shelves catch the spills to make cleanup a breeze.",Analog,Yes,yes,Yes,Yes,No,Side-by-Side,Ice Water,10 cubic feet,68.88 inches,Yes,,
7,012505639265,http://www.bestbuy.com/site/frigidaire-4-5-cu-ft-compact-refrigerator-silver-mist/5594012.p?id=1219144862338&skuId=5594012&cmp=RMX&ky=2msKhkbvKrbhkKj0291rvaFVFiwnOy9Bc,5594012,Frigidaire - 4.5 Cu. Ft. Compact Refrigerator - Silver Mist,FFPE45B2QM,Frigidaire,229.99,0.0,0.0,0.0,5414.0,229.0,4.4,Silver Mist,Store Pickup:,Shipping: Usually leaves our warehouse in 1 business day,,Mechanical temperature controls; 2 glass shelves; Store-More crisper; Store-More door bins; bottle retainer; hanging can rack; reversible door; 15W interior light; 0.7 cu. ft. freezer compartment,"Frigidaire 4.5 Cu. Ft. Compact Refrigerator: Keep a few essential snacks and drinks properly chilled inside this Frigidaire compact refrigerator, which features a Store-More crisper, a SpaceWise shelf, a 0.7 cu. ft. freezer and more. You can even place a microwave or other items on the top using the SpaceWise countertop.",Analog,No,yes,Yes,No,Yes,Compact,Not Applicable,0.7 cubic feet,33.88 inches,,,
8,012505640827,http://www.bestbuy.com/site/frigidaire-gallery-18-3-cu-custom-flex-top-freezer-refrigerator-stainless-steel/9045081.p?id=1219385444156&skuId=9045081&cmp=RMX&ky=2msKhkbvKrbhkKj0291rvaFVFiwnOy9Bc,9045081,Frigidaire - Gallery 18.3 Cu. Custom-Flex Top-Freezer Refrigerator - Stainless Steel,FGTR1845QF,Frigidaire,699.99,2.99,200.0,22.22,6211.0,132.0,4.1,Stainless Steel,Store Pickup:,Delivery: Most Areas,,Analog controls; humidity-controlled crispers; spill-proof glass shelves; meat/deli drawer; gallon-size door bins,"Frigidaire 18.3 Cu. Ft. Top-Freezer Refrigerator: Customize how food is stored with small, medium, and large bins that can be maneuvered around the fridge's door. Raised shelves keep spills contained for easy cleanup, and a stainless-steel design helps the garage-ready fridge resist fingerprints.",Analog,No,yes,Yes,No,Yes,Top Freezer,Not Applicable,4.1 cubic feet,66.1 inches,No,,
9,084691259091,http://www.bestbuy.com/site/ge-17-5-cu-ft-frost-free-top-freezer-refrigerator-white/1673035.p?id=1219507980896&skuId=1673035&cmp=RMX&ky=2msKhkbvKrbhkKj0291rvaFVFiwnOy9Bc,1673035,GE - 17.5 Cu. Ft. Frost-Free Top-Freezer Refrigerator - White,GTS18GTHWW,GE,599.99,2.99,0.0,0.0,6442.0,31.0,4.5,White,Store Pickup: Not Available,Delivery: Most Areas,,"Up-front temperature control knobs; Air Tower temperature management; 2 adjustable, spill-proof glass shelves; 2 humidity-controlled crispers; gallon door storage; frost-free; adjustable wire freezer shelf","GE 17.5 Cu. Ft. Frost-Free Top-Freezer Refrigerator: This fridge is easy to keep neat and organized with spillproof shelves, sliding and adjustable shelves, and gallon-size bins. Plus, crisper drawers help to keep food fresh longer.",Mechanical,Optional,yes,Yes,No,Yes,Top Freezer,Not Applicable,4.02 cubic feet,66.875 inches,,,
10,048231786423,http://www.bestbuy.com/site/lg-door-in-door-28-6-cu-ft-french-door-refrigerator-with-thru-the-door-ice-and-water-stainless-steel/8267205.p?id=1219321336893&skuId=8267205&cmp=RMX&ky=2msKhkbvKrbhkKj0291rvaFVFiwnOy9Bc,8267205,LG - Door-in-Door 28.6 Cu. Ft. French Door Refrigerator with Thru-the-Door Ice and Water - Stainless Steel,LFXS29766S,LG,2494.99,2.99,905.0,26.62,6583.0,140.0,4.7,Stainless Steel,Store Pickup:,Delivery: Most Areas,,Digital temperature control; Smart Cooling Plus system; spill-proof glass shelves; Glide N' Access shelf; humidity-controlled crisper; SmartPull freezer handles,"LG Door-in-Door 28.6 Cu. Ft. French Door Refrigerator with Thru-the-Door Ice and Water: It's easy to keep groceries organized and fresh in this spacious, intelligently designed LG refrigerator. With convenient features like a water and ice dispenser and door-in-door bin access, there's no need to constantly open the door just to grab a few frequently used items. This ensures other foods remain cool and keeps the refrigerator energy-efficient.",Digital,Yes,yes,Yes,Yes,Yes,French Door,Water,9.9 cubic feet,68.38 inches,Yes,,
11,012505636578,http://www.bestbuy.com/site/frigidaire-gallery-26-0-cu-ft-frost-free-side-by-side-refrigerator-with-thru-the-door-ice-and-water-stainless-steel/8337057.p?id=1218872211731&skuId=8337057&cmp=RMX&ky=2msKhkbvKrbhkKj0291rvaFVFiwnOy9Bc,8337057,Frigidaire - Gallery 26.0 Cu. Ft. Frost-Free Side-by-Side Refrigerator with Thru-the-Door Ice and Water - Stainless-Steel,FGHS2631PF,Frigidaire,1299.99,2.99,0.0,0.0,7026.0,411.0,4.4,Stainless-Steel,Store Pickup:,Delivery: Most Areas,,Express-Select controls; 1 fixed shelf and 2 sliding SpillSafe shelves; CoolZone drawer; 2 humidity-controlled crispers; Quick Freeze; pizza shelf,"Frigidaire Gallery 26.0 Cu. Ft. Frost-Free Side-by-Side Refrigerator: Keep plenty of groceries chilled inside this Frigidaire Gallery refrigerator, which features 2 humidity-controlled crispers, a CoolZone drawer, 3 SpillSafe shelves, 2 adjustable, gallon-size door bins, two 2-liter fixed door bins and plenty of additional storage space. You can even access filtered water and crushed or cubed ice through the door.",Digital,Yes,yes,Yes,Yes,Yes,Side-by-Side,Water,9.5 cubic feet,68.63 inches,Yes,,
12,012505638077,http://www.bestbuy.com/site/frigidaire-18-0-cu-ft-top-freezer-refrigerator-black/8733483.p?id=1219363208019&skuId=8733483&cmp=RMX&ky=2msKhkbvKrbhkKj0291rvaFVFiwnOy9Bc,8733483,Frigidaire - 18.0 Cu. Ft. Top-Freezer Refrigerator - Black,FFTR1814QB,Frigidaire,579.99,2.99,0.0,0.0,7038.0,376.0,4.1,Black,Store Pickup:,Delivery: Most Areas,,Ready-Select independent temperature controls; 2 SpaceWise wire shelves; 2 Store-More humidity-controlled crisper drawers; dairy door; gallon-size door shelf; garage- and icemaker-ready,"Frigidaire 18.0 Cu. Ft. Top-Freezer Refrigerator: Designed for the home or garage, this refrigerator keeps food chilled and easily accessible. Sliding shelves and a gallon-size door bin help keep groceries organized.",Electronic,Optional,yes,Yes,No,Yes,Top Freezer,Not Applicable,4.1 cubic feet,65.875 inches,No,,
13,887276956091,http://www.bestbuy.com/site/samsung-24-5-cu-ft-side-by-side-refrigerator-with-thru-the-door-ice-and-water-stainless-steel/3513032.p?id=1219091788484&skuId=3513032&cmp=RMX&ky=2msKhkbvKrbhkKj0291rvaFVFiwnOy9Bc,3513032,Samsung - 24.5 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - Stainless Steel,RS25H5111SR,Samsung,1394.99,2.99,305.0,17.94,7103.0,327.0,4.3,Stainless Steel,Store Pickup:,Delivery: Most Areas,,"ENERGY STAR Certified
Digital controls; Twin Cooling Plus system; 4 spill-proof, tempered-glass shelves; 2 crisper drawers; 5 door bins; 5 glass freezer shelves; 3 freezer door bins","Organize your fresh and frozen groceries in this Samsung RS25H5111SR side-by-side refrigerator, which features a Twin Cooling Plus system that maintains optimal storage temperatures and humidity levels. The digital controls allow simple operation.",Digital,Yes,yes,Yes,Yes,Yes,Side-by-Side,Water,9.2 cubic feet,68.6 inches,Yes,,
14,012505639111,http://www.bestbuy.com/site/frigidaire-25-6-cu-ft-side-by-side-refrigerator-with-thru-the-door-ice-and-water-stainless-steel/5867263.p?id=1219169459200&skuId=5867263&cmp=RMX&ky=2msKhkbvKrbhkKj0291rvaFVFiwnOy9Bc,5867263,Frigidaire - 25.6 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - Stainless-Steel,FFSS2614QS,Frigidaire,1099.99,2.99,0.0,0.0,7146.0,224.0,4.2,Stainless-Steel,Store Pickup:,Delivery: Most Areas,,Ready-Select digital temperature controls; SpillSafe glass shelves; 2 crisper drawers; 2 adjustable gallon door bins; 2 fixed 2L door bins,"Frigidaire 25.6 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water: The classic side-by-side design provides lots of room to keep frozen groceries chilled and organized. Save money on bottled water with convenient door access to clean, filtered water and ice.",Digital,25.6 cubic feet,yes,Yes,No,No,Side-by-Side,Water,9.1 cubic feet,69.88 inches,Yes,,
15,048231786553,http://www.bestbuy.com/site/lg-23-8-cu-ft-top-freezer-refrigerator-stainless-steel/7355137.p?id=1219265950084&skuId=7355137&cmp=RMX&ky=2msKhkbvKrbhkKj0291rvaFVFiwnOy9Bc,7355137,LG - 23.8 Cu. Ft. Top-Freezer Refrigerator - Stainless Steel,LTCS24223S,LG,994.99,2.99,205.0,17.08,7184.0,105.0,4.6,Stainless Steel,Store Pickup:,Delivery: Most Areas,,Digital temperature control; SpillProof shelves; humidity-controlled crisper; deli meat drawer; gallon-size door storage; icemaker,"LG 23.8 Cu. Ft. Top-Freezer Refrigerator: Store enough food for an upcoming party and keep your bulk items fresh in the fridge, or frozen in the top freezer of this ultra-large appliance. Tempered glass shelving and a variety of bins and drawers help you keep everything organized for easy access.",Digital,Yes,yes,Yes,Yes,Yes,Top Freezer,Not Applicable,6.2 cubic feet,67.9 inches,No,,
