,itemid,name,msrp,saleprice,upc,shortdescription,longdescription,modelNumber,productUrl,customerRating,numReviews
0,42490111,"Haier 3.2 cu ft 2-Door Refrigerator, Black",164.84,129.0,688057309170,"Keep beverages, cold cuts, cheeses and more cold and close at hand with this contemporary Haier 3.2 cubic foot Refrigerator. It features a separate True-Freezer Compartment for frozen food storage. This two-door refrigerator has two easy-to-clean, full-width interior glass shelves and a clear crisper with a glass cover that will keep your fruits and vegetables fresher. The spacious door storage accommodates up to two two-liter bottles. It has Dispense-a-Can storage that fits six cans. It is ideal for use in a dorm room, game room, studio apartment or camper.","&lt;br&gt;&lt;b&gt;Haier 3.2 cu ft 2-Door Refrigerator, Black:&lt;/b&gt;&lt;ul&gt;&lt;li&gt;Keep beverages, cold cuts, cheeses and more cold and close at hand with this contemporary Haier 3.2 cu ft Refrigerator&lt;/li&gt;&lt;li&gt;It features a separate True-Freezer Compartment for frozen food storage&lt;/li&gt;&lt;li&gt;This 2-door refrigerator has 2 easy-to-clean, full-width interior glass shelves and a clear crisper with a glass cover that will keep your fruits and vegetables fresher&lt;/li&gt;&lt;li&gt;The spacious door storage accommodates up to two 2 L bottles&lt;/li&gt;&lt;li&gt;It has Dispense-a-Can storage that fits 6 cans&lt;/li&gt;&lt;li&gt;It is ideal for use in a dorm room, game room, studio apartment or camper&lt;/li&gt;&lt;li&gt;Dimensions: 20.08&quot;L x 19.09&quot;W x 33.46&quot;H&lt;/li&gt;&lt;li&gt;1-year parts and labor warranty&lt;/li&gt;&lt;li&gt;5-year sealed system&lt;/li&gt;&lt;li&gt;Model# HC32TW10SB&lt;/li&gt;&lt;/ul&gt;",HC32TW10SB,http://c.affil.walmart.com/t/api02?l=http%3A%2F%2Fwww.walmart.com%2Fip%2FHaier-3.2-cu-ft-2-Door-Refrigerator-Black%2F42490111%3Faffp1%3DFI5pNROvWQUucwt5ZrH-zlvGrNUHjSYjgjhle5yENC4%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,4.521,96
1,19895942,"Igloo 2.6-cu ft Refrigerator, Black",149.0,99.0,058465779153,"The Igloo 2.6-cu ft Refrigerator has enough room to store your favorite foods and drinks, while not taking up a lot of space. You can easily store sodas, beer, wine, water, sandwiches or fruit nearby so you don't have to interrupt the good times to fuel up. This Igloo refrigerator is perfect for the TV room, the basement, even the patio. The convenient door basket on the reversible door is large enough for 2-liter bottles and canned drinks, and there is even a separate ice cube chamber. This low energy consumption refrigerator is perfect for the office or extra rooms away from the kitchen with its space saving flush back design.","&lt;strong&gt;Igloo 2.6-cu ft Refrigerator, Black:&lt;/strong&gt; &lt;ul class=&quot;noindent&quot;&gt;&lt;li&gt;Capacity: 2.8-cu ft&lt;/li&gt;&lt;li&gt;Compressor cooling&lt;/li&gt;&lt;li&gt;CFC free&lt;/li&gt;&lt;li&gt;Flush back design&lt;/li&gt;&lt;li&gt;Low energy consumption&lt;/li&gt;&lt;li&gt;Invisible door handle&lt;/li&gt;&lt;li&gt;Reversible door&lt;/li&gt;&lt;li&gt;Door basket for 2-liter bottles&lt;/li&gt;&lt;li&gt;Ice cube tray&lt;/li&gt;&lt;li&gt;Separate ice cube chamber&lt;/li&gt;&lt;li&gt;Adjustable thermostat&lt;/li&gt;&lt;li&gt;Adjustable leveling leg&lt;/li&gt;&lt;li&gt;Dimensions: 18&quot;W x 21&quot;L x 26&quot;H&lt;/li&gt;&lt;li&gt;Igloo 2.8-cu ft Refrigerator Model: FR283I&lt;/li&gt;&lt;/ul&gt;",FR283I-BLACK,http://c.affil.walmart.com/t/api02?l=http%3A%2F%2Fwww.walmart.com%2Fip%2FIgloo-2.8-cu-ft-Refrigerator-Black%2F19895942%3Faffp1%3DFI5pNROvWQUucwt5ZrH-zlvGrNUHjSYjgjhle5yENC4%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,4.049,226
2,15162430,"Igloo 4.5 cu. ft. Refrigerator and Freezer, Black, FR464",msrp,119.0,058465773403,"Keep your drinks cold and your perishables fresh with the Igloo compact refrigerator. It's roomy enough for your groceries, snacks and beverages &mdash; but small enough to fit almost anywhere, even in places where space is a premium. An invisible door handle and adjustable legs add to the functional design of this sleek black refrigerator and freezer. Features include a built-in door can holder, built-in tall bottle holder and slide-out shelves for even extra room. This freestanding compact refrigerator is the perfect dorm fridge for college students. It also works well in offices, basements, warehouses, rec rooms and more. Best of all, it's CFC free and great for the environment.","&lt;strong&gt;Igloo 4.5-Cubic Foot Refrigerator and Freezer:&lt;/strong&gt;&lt;ul class=&quot;noindent&quot;&gt;&lt;li&gt;Compact refrigerator capacity: 4.5 cu ft&lt;/li&gt;&lt;li&gt;Compressor cooling&lt;/li&gt;&lt;li&gt;CFC free &mdash; great for the environment&lt;/li&gt;&lt;li&gt;Quiet operation&lt;/li&gt;&lt;li&gt;Freezer holds two regular sized ice cube trays&lt;/li&gt;&lt;li&gt;Flush-back design&lt;/li&gt;&lt;li&gt;Low energy consumption&lt;/li&gt;&lt;li&gt;Invisible door handle&lt;/li&gt;&lt;li&gt;Built-in door can holder&lt;/li&gt;&lt;li&gt;Built-in door tall bottle holder&lt;/li&gt;&lt;li&gt;Adjustable legs help you fit the compact refrigerator in small spaces&lt;/li&gt;&lt;li&gt;Slide-out shelves for extra room&lt;/li&gt;&lt;li&gt;Compact refrigerator has a 1-year limited warranty&lt;/li&gt;&lt;li&gt;Igloo black compact refrigerator model #FR464i&lt;/li&gt;&lt;li style=&quot;list-style: none&quot;&gt;&lt;br&gt;&nbsp;&lt;br&gt;See all &lt;a href=&quot;http://www.walmart.com/browse/college-appliances/college-fridges,-freezers-dishwashers/1085632_1093706_1093707_1093708/&quot;&gt;fridges&lt;/a&gt; on Walmart.com. Save money. Live better.&lt;/li&gt;&lt;/ul&gt;",FR464-BLACK,http://c.affil.walmart.com/t/api02?l=http%3A%2F%2Fwww.walmart.com%2Fip%2FIgloo-4.5-cu.-ft.-Refrigerator-and-Freezer-Black-FR464%2F15162430%3Faffp1%3DFI5pNROvWQUucwt5ZrH-zlvGrNUHjSYjgjhle5yENC4%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,3.486,912
3,15162474,"Igloo 3.2 cu. ft. 2-Door Refrigerator and Freezer, Stainless Steel",msrp,149.0,058465747633,"Keep your groceries fresh and your beverages cold with the Igloo 3.2-Cubic Foot 2-Door Refrigerator and Freezer. It's roomy enough for your perishables, snacks and drinks, but small and sleek enough to fit almost anywhere. This compact freestanding 2-door fridge features a vegetable drawer with a glass shelf to keep your lettuce crisp, and the slide-out shelves provide additional room. Plus, the reversible door features a built-in door can holder and built-in tall bottle holder. This small refrigerator is perfect for college dorm rooms, offices, basements, rec rooms and more. The functional design and glossy stainless steel exterior lends a touch of style to your decor &mdash; even in places where space is a premium. Best of all, this compact refrigerator is CFC free and great for the environment.","&lt;br&gt;&lt;b&gt;Igloo 3.2-Cubic Foot Refrigerator and Freezer:&lt;/b&gt;&lt;ul&gt;&lt;li&gt;Compressor cooling&lt;/li&gt;&lt;li&gt;Adjustable thermostat&lt;/li&gt;&lt;li&gt;CFC free &mdash; great for the environment&lt;/li&gt;&lt;li&gt;Flush back design&lt;/li&gt;&lt;li&gt;Reversible door&lt;/li&gt;&lt;li&gt;Built-in door can holder&lt;/li&gt;&lt;li&gt;Built-in door tall bottle holder&lt;/li&gt;&lt;li&gt;Slide-out shelves&lt;/li&gt;&lt;li&gt;Vegetable drawer with glass shelf keeps your vegetables crisp&lt;/li&gt;&lt;li&gt;Compact refrigerator has a 1-year limited warranty&lt;/li&gt;&lt;li&gt;Igloo refrigerator and freezer model #FR834&lt;/li&gt;&lt;/ul&gt;&lt;br&gt;&lt;br&gt;See all &lt;a href=&quot;http://www.walmart.com/browse/college-appliances/college-fridges,-freezers-dishwashers/1085632_1093706_1093707_1093708/&quot;&gt;fridges&lt;/a&gt; on Walmart.com. Save money. Live better.",FR834,http://c.affil.walmart.com/t/api02?l=http%3A%2F%2Fwww.walmart.com%2Fip%2FIgloo-3.2-cu.-ft.-2-Door-Refrigerator-and-Freezer-Stainless-Steel%2F15162474%3Faffp1%3DFI5pNROvWQUucwt5ZrH-zlvGrNUHjSYjgjhle5yENC4%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,3.911,415
4,15162473,Igloo 3.2 Cu Ft 2 Door Refrigerator - 3.20 Ft - Black (fr832-black),msrp,159.0,058465775483,"Keep your groceries fresh and your beverages cold with the Igloo 3.2 cu. ft. 2-Door Refrigerator and Freezer. It's roomy enough for your perishables, snacks, drinks and frozen edibles, but small and sleek enough to fit almost anywhere. This compact free-standing reversible door refrigerator features a vegetable drawer with a glass shelf to keep your lettuce, apples and other produce crisp. Slide-out shelves provide additional room for prepared foods and packaged products. The reversible door features a built-in can holder to stack up to six cans and keep them immediately accessible as well as a built-in tall bottle holder for large soda containers, water bottles and other items. An adjustable thermostat allows you to find the right temperature for your contents. The freezer is on top and offers space for ice cream, frozen dinners and more. It also includes a door with a built-in holder.","The Igloo compact refrigerator is ideal for college dorm rooms, offices, basements, rec rooms and more. The functional design and glossy black exterior lends a touch of chic style to your decor, even in places where space is a premium. Best of all, this reversible door refrigerator is CFC free and friendly for the environment. An ice cube tray is included.&lt;br&gt;&lt;b&gt;Igloo 3.2-Cubic Foot Refrigerator and Freezer:&lt;/b&gt;&lt;ul&gt;&lt;li&gt;Compressor cooling&lt;/li&gt;&lt;li&gt;Adjustable thermostat&lt;/li&gt;&lt;li&gt;CFC free - wonderful for the environment&lt;/li&gt;&lt;li&gt;Compact flush back design&lt;/li&gt;&lt;li&gt;Reversible door refrigerator&lt;/li&gt;&lt;li&gt;Built-in door can holder&lt;/li&gt;&lt;li&gt;Built-in door tall bottle holder&lt;/li&gt;&lt;li&gt;Slide-out shelves&lt;/li&gt;&lt;li&gt;Vegetable drawer with glass shelf keeps your vegetables crisp&lt;/li&gt;&lt;li&gt;Ice cube tray included&lt;/li&gt;&lt;li&gt;Refrigerator has a 1-year limited warranty&lt;/li&gt;&lt;li&gt;Igloo compact refrigerator and freezer model #FR832&lt;/li&gt;&lt;/ul&gt;",modelNumber,http://c.affil.walmart.com/t/api02?l=http%3A%2F%2Fwww.walmart.com%2Fip%2FIgloo-3.2-cu.-ft.-2-Door-Refrigerator-and-Freezer%2F15162473%3Faffp1%3DFI5pNROvWQUucwt5ZrH-zlvGrNUHjSYjgjhle5yENC4%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,3.657,1025
5,15162427,"Igloo 3.2 cu. ft. Refrigerator and Freezer, Platinum",159.0,119.99,058465766337,"&lt;p&gt;The Igloo FR322 Refrigerator with its judicious blend of style and convenience; provides enough storage space to include all your grocery items. The sleek design of the platinum refrigerator suits any household and blends with all decors. Equipped with a thermostat and cooling compressor, the Igloo mini refrigerator has a total capacity of 3.2 cubic feet.&lt;/p&gt;&lt;p&gt;With its reduced consumption of energy and protection from harmful chlorofluorocarbon, the Igloo 3.2 cu. Ft. Refrigerator and Freezer makes for eco friendliness. It features a reversible door that has an internally built can and bottle holders for better storage. It also features wire slide-out shelves that make for easy removing and cleaning. This platinum refrigerator keeps your food, drinks fresh and chilled.&lt;/p&gt;","&lt;strong&gt;Igloo Fr322 Refrigerator:&lt;/strong&gt;&lt;ul class=&quot;noindent&quot;&gt;&lt;li&gt;Capacity: 3.2 cubic feet&lt;/li&gt;&lt;li&gt;Adjustable thermostat&lt;/li&gt;&lt;li&gt;Compressor cooling&lt;/li&gt;&lt;li&gt;CFC free&lt;/li&gt;&lt;li&gt;Flush back design&lt;/li&gt;&lt;li&gt;Reversible door&lt;/li&gt;&lt;li&gt;Invisible door handle&lt;/li&gt;&lt;li&gt;Built-in door can holder&lt;/li&gt;&lt;li&gt;Built-in door tall bottle holder&lt;/li&gt;&lt;li&gt;Wire slide-out shelves&lt;/li&gt;&lt;li&gt;Ice cube tray&lt;/li&gt;&lt;li&gt;Low energy consumption&lt;/li&gt;&lt;li&gt;1-year limited warranty&lt;/li&gt;&lt;li&gt;Igloo mini refrigerator and freezer model #FR322&lt;/li&gt;&lt;li style=&quot;list-style: none&quot;&gt;&lt;strong&gt;Energy-Saving Tips:&lt;/strong&gt;&lt;/li&gt;&lt;li&gt;Keep the refrigerator and freezer doors closed as much as possible, especially when your room is warm or humid&lt;/li&gt;&lt;li&gt;Maintain adequate ventilation around the back and sides of the Igloo mini refrigerator and freezer&lt;/li&gt;&lt;li&gt;For normal use, the thermostat on this platinum fridge should be set at 4&lt;/li&gt;&lt;li&gt;You should allow warm food to cool down to room temperature before you place it in the Igloo mini refrigerator and freezer&lt;/li&gt;&lt;li&gt;Beware of excessive ice buildup, which increases energy consumption&lt;/li&gt;&lt;li&gt;Be sure to defrost this platinum fridge when ice and frost accumulate to a thickness of 1/4 inch&lt;/li&gt;&lt;/ul&gt;",FR322,http://c.affil.walmart.com/t/api02?l=http%3A%2F%2Fwww.walmart.com%2Fip%2FIgloo-3.2-cu.-ft.-Refrigerator-and-Freezer-Platinum%2F15162427%3Faffp1%3DFI5pNROvWQUucwt5ZrH-zlvGrNUHjSYjgjhle5yENC4%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,3.837,312
6,15162469,"Igloo 3.2 cu. ft. Refrigerator and Freezer, Multiple Colors",149.0,109.0,058465775506,"Keep your groceries fresh and your beverages ice-cold with the Igloo 3.2-Cubic Foot Refrigerator and Freezer. It's roomy enough for your perishables, produce, snacks and drinks, but small and sleek enough to fit almost anywhere. The easy to clean wire shelves can be adjusted to fit the height of your food and accommodate bulkier objects, adding to the unique, space-saving design. Plus, the convenient reversible door features a built-in door can holder and built-in tall bottle holder, so you can keep a variety of beverages on hand. This small refrigerator is perfect for college dorm rooms, offices, basements, rec rooms and more. The functional design and glossy black exterior lends a touch of style to your decor &mdash; even in places where space is a premium. Best of all, this compact refrigerator is CFC free and great for the environment.",&lt;br&gt;&lt;b&gt;Igloo 3.2-Cubic Foot Refrigerator and Freezer:&lt;/b&gt;&lt;ul&gt;&lt;li&gt;Capacity: 3.2 cu. ft.&lt;/li&gt;&lt;li&gt;Compressor cooling&lt;/li&gt;&lt;li&gt;Adjustable thermostat&lt;/li&gt;&lt;li&gt;CFC free &mdash; great for the environment&lt;/li&gt;&lt;li&gt;Flush back design&lt;/li&gt;&lt;li&gt;Reversible door&lt;/li&gt;&lt;li&gt;Built-in door can holder&lt;/li&gt;&lt;li&gt;Built-in door tall bottle holder&lt;/li&gt;&lt;li&gt;Wire shelves&lt;/li&gt;&lt;li&gt;Ice cube tray included&lt;/li&gt;&lt;li&gt;Compact refrigerator has a 1-year limited warranty&lt;/li&gt;&lt;li&gt;Igloo refrigerator and freezer model # FR320&lt;/li&gt;&lt;/ul&gt;,FR320-BLACK,http://c.affil.walmart.com/t/api02?l=http%3A%2F%2Fwww.walmart.com%2Fip%2FIgloo-3.2-cu.-ft.-Refrigerator-and-Freezer%2F15162469%3Faffp1%3DFI5pNROvWQUucwt5ZrH-zlvGrNUHjSYjgjhle5yENC4%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,4.09,566
7,20970370,"Igloo Eraser Board Refrigerator, 3.2 cu ft",149.0,109.0,058465776572,"&lt;p&gt;Write and erase messages on this compact Igloo Eraser Board Refrigerator. The inside of the fridge includes two adjustable shelves, a 2 L bottle storage area, a door can rack, and more. The reversible door in this Igloo compact refrigerator allows either left or right hand opening. The adjustable food shelves allow you to keep your groceries in an organized way. The door rack in this 3.2 cu. ft. refrigerator offers additional storage space.&lt;/p&gt;","&lt;strong&gt;Igloo Eraser Board Refrigerator, 3.2 cu ft:&lt;/strong&gt;&lt;ul class=&quot;noindent&quot;&gt;&lt;li&gt;Write and erase notes, lists and more on the door&lt;/li&gt;&lt;li&gt;2 adjustable shelves&lt;/li&gt;&lt;li&gt;2 L bottle storage in door&lt;/li&gt;&lt;li&gt;Door can rack&lt;/li&gt;&lt;li&gt;Freezer&lt;/li&gt;&lt;li&gt;Compressor cooling&lt;/li&gt;&lt;li&gt;Reversible door&lt;/li&gt;&lt;li&gt;Adjustable thermostat&lt;/li&gt;&lt;li style=&quot;list-style: none&quot;&gt;&lt;br&gt;&lt;br&gt;See all &lt;a href=&quot;http://www.walmart.com/browse/college-appliances/college-fridges,-freezers-dishwashers/1085632_1093706_1093707_1093708/&quot;&gt;fridges&lt;/a&gt; on Walmart.com. Save money. Live better.&lt;/li&gt;&lt;/ul&gt;",FR326-BLACK,http://c.affil.walmart.com/t/api02?l=http%3A%2F%2Fwww.walmart.com%2Fip%2FIgloo-Eraser-Board-Refrigerator-3.0-cu-ft%2F20970370%3Faffp1%3DFI5pNROvWQUucwt5ZrH-zlvGrNUHjSYjgjhle5yENC4%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,4.055,330
8,15162472,Igloo 3.2 cu. ft. 2-Door Refrigerator and Freezer,249.0,159.0,058465775476,"&lt;p&gt;The Igloo 3.2 cu. ft. Refrigerator is a compact yet spacious refrigerator that can fit almost anywhere. The two-door refrigerator and freezer has an ice-cube tray, vegetable drawer with glass shelf and slide out shelves that makes it very functional. It also features a built-in door can holder and door bottle holder. The white fridge has a flush back design and comes with a reversible door. The CFC-free Igloo refrigerator has an adjustable thermostat for ease of use.&lt;/p&gt;","&lt;strong&gt;Igloo 3.2 Cu. Ft. Refrigerator:&lt;/strong&gt;&lt;ul class=&quot;noindent&quot;&gt;&lt;li&gt;Compressor cooling&lt;/li&gt;&lt;li&gt;Adjustable thermostat&lt;/li&gt;&lt;li&gt;CFC free&lt;/li&gt;&lt;li&gt;Flush back design&lt;/li&gt;&lt;li&gt;Reversible door&lt;/li&gt;&lt;li&gt;Built-in door can holder&lt;/li&gt;&lt;li&gt;Built-in door tall bottle holder&lt;/li&gt;&lt;li&gt;Slide-out shelves&lt;/li&gt;&lt;li&gt;Vegetable drawer with glass shelf&lt;/li&gt;&lt;li&gt;Ice cube tray&lt;/li&gt;&lt;li&gt;1-year limited warranty&lt;/li&gt;&lt;li&gt;Igloo refrigerator and freezer model #FR832&lt;/li&gt;&lt;li style=&quot;list-style: none&quot;&gt;&lt;br&gt;&lt;br&gt;See all &lt;a href=&quot;http://www.walmart.com/browse/college-appliances/college-fridges,-freezers-dishwashers/1085632_1093706_1093707_1093708/&quot;&gt;fridges&lt;/a&gt; on Walmart.com. Save money. Live better.&lt;/li&gt;&lt;/ul&gt;",FR832-WHITE,http://c.affil.walmart.com/t/api02?l=http%3A%2F%2Fwww.walmart.com%2Fip%2FIgloo-3.2-cu.-ft.-2-Door-Refrigerator-and-Freezer%2F15162472%3Faffp1%3DFI5pNROvWQUucwt5ZrH-zlvGrNUHjSYjgjhle5yENC4%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,3.929,283
9,15162471,"Igloo 4.5 cu. ft. Refrigerator and Freezer, Stainless Steel",129.0,139.99,058465746131,"Keep your drinks cold and your perishables fresh with the Igloo compact refrigerator. It's roomy enough for your groceries, snacks and beverages &mdash; but small enough to fit almost anywhere, even in places where space is a premium. An invisible door handle and adjustable legs add to the functional design of this sleek black refrigerator and freezer. Features include a built-in door can holder, built-in tall bottle holder and slide-out shelves for even extra room. This freestanding compact refrigerator is the perfect dorm fridge for college students. It also works well in offices, basements, warehouses, rec rooms and more. Best of all, it's CFC free and great for the environment.","&lt;br&gt;&lt;b&gt;Igloo 4.5-Cubic Foot Refrigerator and Freezer:&lt;/b&gt;&lt;ul&gt;&lt;li&gt;Compact refrigerator capacity: 4.5 cu ft&lt;/li&gt;&lt;li&gt;Compressor cooling&lt;/li&gt;&lt;li&gt;CFC free &mdash; great for the environment&lt;/li&gt;&lt;li&gt;Quiet operation&lt;/li&gt;&lt;li&gt;Freezer holds two regular sized ice cube trays&lt;/li&gt;&lt;li&gt;Flush-back design&lt;/li&gt;&lt;li&gt;Low energy consumption&lt;/li&gt;&lt;li&gt;Invisible door handle&lt;/li&gt;&lt;li&gt;Built-in door can holder&lt;/li&gt;&lt;li&gt;Built-in door tall bottle holder&lt;/li&gt;&lt;li&gt;Adjustable legs help you fit the compact refrigerator in small spaces&lt;/li&gt;&lt;li&gt;Slide-out shelves for extra room&lt;/li&gt;&lt;li&gt;Compact refrigerator has a 1-year limited warranty&lt;/li&gt;&lt;li&gt;Igloo silver compact refrigerator model #FR465&lt;/li&gt;&lt;/ul&gt;&lt;br&gt;&lt;br&gt;See all &lt;a href=&quot;http://www.walmart.com/browse/college-appliances/college-fridges,-freezers-dishwashers/1085632_1093706_1093707_1093708/&quot;&gt;fridges&lt;/a&gt; on Walmart.com. Save money. Live better.",FR465I-B,http://c.affil.walmart.com/t/api02?l=http%3A%2F%2Fwww.walmart.com%2Fip%2FIgloo-4.6-cu.-ft.-Refrigerator-and-Freezer-Stainless-Steel%2F15162471%3Faffp1%3DFI5pNROvWQUucwt5ZrH-zlvGrNUHjSYjgjhle5yENC4%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,3.207,455
