,itemid,name,overallRating,reviewText,submissionTime,title,upVotes,downVotes,reviewer
0,42490111,"Haier 3.2 cu ft 2-Door Refrigerator, Black",5,"I love this mini refrigerator. It is pretty spacious and to be honest is not quiet, but ""super quiet"".

This refrigerator includes a light that is not described in the description.
The refrigerator area is also pretty spacious compared to other ones I
saw that are about $60-$80 dollars more. You can fit a bag of ice.

If you are looking for a mini refrigerator for your room, office or warehouse,
this is the way to go. I am extremely happy with it.

Thank you Walmart for having this on sale :)",2015-07-02T10:34:15,The Deal Of The Century :),240,38,
1,42490111,"Haier 3.2 cu ft 2-Door Refrigerator, Black",5,Really enjoying my new fridge. Perfect size for what I needed. Works like a charm. Freezer keeps ice cream perfect. Like separate doors for freezer and fridge. Reasonable price and great fridge.,2015-07-08T10:43:41,Great fridge.,132,18,Puppy99
2,42490111,"Haier 3.2 cu ft 2-Door Refrigerator, Black",5,Having a completely separate freezer door is fantastic. I can actually keep ice cream frozen.,2015-06-16T18:31:52,True mini fridge and freezer,121,16,Retire
3,42490111,"Haier 3.2 cu ft 2-Door Refrigerator, Black",5,It's one of the best thing I ever brought,2015-02-22T05:35:33,the best,102,20,Dellz215
4,42490111,"Haier 3.2 cu ft 2-Door Refrigerator, Black",5,It was easy to set up and it started cooling right away. The freezer was something I was looking for and it works great!,2015-07-07T18:26:19,"Mini fridge, maximum value",73,35,Craig
5,19895942,"Igloo 2.6-cu ft Refrigerator, Black",4,"Bought as an extra fridge for our motorhome. We are full time volunteers and live in our motorhome. We tend to overload our motorhomes fridge and open to get things like sodas, beer, etc out often. This causes large variations in the internal temp. We decided a small fridge for drinks, etc. would help and this works great. This Igloo being larger than the small 1.7 cube ones holds much more. Has glass shelves so bottles don't easily fall over, at a 4 setting the temp stays steady at 35 degrees, is quiet. Only had for about two weeks but so far very pleased.",2012-06-17T02:30:46,Perfect extra fridge for an RV,128,9,motorhomeAl
6,19895942,"Igloo 2.6-cu ft Refrigerator, Black",5,"This fridge exceeded my expectations first by the shelving within the unit , the shevles are tempered glass that are very durable and adjustable unlike the other units that have wire stationary shelves. The lower section will hold 10 bottles of water, the center section will hold 20 cans of soda along with another 10 in the door along with a 2 liter bottle. The upper section holds a variety for different items either laying down or standing up. The freezer will hold a few small items if needed and I like that the door is clear so you don't forget they are in there. The fridge at the setting of #4 keeps things very cold. I would recommend this fridge to anyone who was looking for a small fridge be it for camping or the office or dorm room.",2012-08-23T07:56:03,Excellent fridge for RVing,94,5,Cartrules99
7,19895942,"Igloo 2.6-cu ft Refrigerator, Black",5,"I bought this for the office and it is meeting and/or exceeding all expectations. It is much bigger than I expected, has very nice glass shelves, and a mini ice cube tray with a small plastic door on the freezer part that separates the frozen goods and keeps them colder. This refrigerator is well worth the $89 advertised price. And a big KUDOS to Walmart for shipping! When I originally ordered on 2/14, they said it would be here on 2/26 with free shipping. For a measly $2.97 more, it offered Standard Shipping which said would be delivered on 2/19. After placing the order, it jumped up to 2/21 (no big deal, still within 5 business days). What a nice surprise to see that they shipped it the SAME DAY I ordered it and it arrived only 2 days later!! It is pretty quiet and was ready to use in just over an hour of plugging it in. I definitely recommend this great refrigerator!",2014-02-18T13:25:16,Awesome Fridge!,60,9,OVguy13
8,19895942,"Igloo 2.6-cu ft Refrigerator, Black",5,This unit is the perfect size for a dorm and the capacity is great.,2012-07-09T19:03:26,Perfect fridge for my daughter's dorm.,56,14,SouthwestValueShopper
9,19895942,"Igloo 2.6-cu ft Refrigerator, Black",5,"The Fridge is the perfect size not to big or to small. I'm going to us it at work to keep cold products in the office at work. This way my lunch and soft drinks will not be bothered by others. I chose this unit because of the glass shelves just in-case something is spilled. It makes cleanup easy. I have had it running at home for a week and it has kept some soft drinks at the perfect cold temp to be just right. It is so quiet I can not hear it.

Also it was delivered to my house and was in great shape. There were a few dings on the packaging but non touched the product. I looked it over good for that as others stated in there reviews that products came damaged. This was my first package from Walmart shipping. I would use it again based on the results of this purchase.",2013-08-30T04:38:31,Perfect size for an office Fridge for two people,26,0,cmwest
10,15162430,"Igloo 4.5 cu. ft. Refrigerator and Freezer, Black, FR464",5,"I bought this for my office and I am very glad I did. Due to some of the reviews I read, I almost didn't buy it.
Yes, the freezer is small but not like everyone describes it. (its suppose to be small, right?)
The freezer will hold 2 regular size ice trays w/room above, or a 1/2 gal. of ice cream, 4 frozen dinners, etc. ""not all of this together"" Just wanted everyone to understand with a little more detail.
I started to purchase the one with the separate freezer on top but I LOVE this refrigerator. I have a small office with 2 other employees and I don't hear any complaints. We did move the door to open the opposite way and didn't have any problems with that either.
I highly recommended this item. (And it look very nice)",2011-05-16T09:34:40,Refrigerator,499,51,atscarla
11,15162430,"Igloo 4.5 cu. ft. Refrigerator and Freezer, Black, FR464",5,"This was purchased for our warehouse, which reaches temps of over 100 degrees during the summer months. It keeps our stuff cold, makes very little noise and has not caused a problem on the electric bill. This is a great value if you need something small.",2011-06-07T15:14:29,Great little fridge,203,14,Gitway
